Smiles,ACT_CDK5
Cc1cc(cc(c1O)C)Nc2ncc3ccc(=O)n(c3n2)C(C)C,0.150
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Cl,0.083
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)I)C,0.009
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)Br,0.064
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)N(=O)=O,0.037
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Br,0.379
CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)C(F)(F)F,0.309
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC,0.010
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC,0.280
c1cc(=O)n(c2c1cnc(n2)Nc3cc(c(c(c3)Cl)O)Cl)CC(F)(F)F,0.525
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC,0.081
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O,0.044
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C#N,0.044
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)Cl)Cl,0.082
c1cc(cc(c1)N(=O)=O)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F,0.785
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)N(C)C(=O)C,0.060
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)O,0.133
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)F,0.036
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)O)Cl,0.277
Cc1ccc(cc1C)Nc2ncc3ccc(=O)n(c3n2)C(C)C,0.054
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)N)Cl,0.042
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC(F)(F)F,0.071
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC,0.049
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C(F)(F)F,0.150
CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F,1.400
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O,0.013
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)N(C)C(=O)C,0.917
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F,0.180
CCCCn1c(=O)ccc2c1nc(nc2)Nc3c(cc(cc3F)F)F,0.700
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)N(C)C(=O)C,0.160
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)C,0.038
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)C(F)(F)F,0.647
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccccc3,0.145
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)O)OC,0.074
c1cc(c(cc1Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F)N(=O)=O)F,25.000
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)S(=O)(=O)N,0.015
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)C(F)(F)F,0.890
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O,0.660
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C,0.177
CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)C)C,0.014
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)Cl,0.230
